asset_age_years,criticality_score,open_defect_count,highest_defect_severity,active_task_count,highest_task_severity,days_overdue,total_task_duration,risk_label
14,25,0,0,0,0,0,0.0,0
15,25,0,0,3,25,8,2.48,1
1,40,0,0,0,0,49,0.0,1
16,50,3,35,0,0,0,0.0,1
4,40,1,35,1,15,42,0.5,1
23,40,1,5,2,25,0,0.55,1
21,50,0,0,0,0,21,0.0,1
28,50,2,35,0,0,45,0.0,1
23,40,1,25,1,35,60,2.56,1
11,50,0,0,0,0,0,0.0,0
29,50,0,0,1,25,44,4.45,1
12,40,0,0,0,0,57,0.0,1
10,40,1,25,1,5,0,4.14,1
28,10,1,5,0,0,29,0.0,0
11,10,3,35,1,15,23,7.41,1
2,40,2,25,0,0,51,0.0,1
14,40,0,0,0,0,0,0.0,0
24,25,0,0,0,0,40,0.0,1
5,40,0,0,1,35,0,6.23,1
14,40,0,0,2,35,0,7.44,1
4,50,0,0,0,0,0,0.0,0
21,10,0,0,0,0,37,0.0,0
14,25,1,35,0,0,0,0.0,1
10,40,0,0,0,0,0,0.0,0
7,50,1,25,1,5,0,4.34,1
17,50,0,0,1,25,39,3.85,1
20,50,0,0,1,25,0,4.75,1
29,50,0,0,0,0,0,0.0,1
13,25,1,35,1,25,0,3.29,1
4,25,0,0,2,15,60,2.08,1
25,25,2,25,0,0,0,0.0,1
19,40,0,0,0,0,0,0.0,0
21,50,1,35,1,25,0,6.77,1
3,25,1,15,4,35,0,5.6,1
9,40,0,0,0,0,0,0.0,0
23,25,0,0,0,0,42,0.0,1
25,25,2,15,1,25,49,2.94,1
13,25,1,35,0,0,3,0.0,1
24,10,2,25,1,25,0,3.85,1
26,50,0,0,0,0,44,0.0,1
12,25,1,25,1,5,0,2.19,0
27,50,1,35,1,5,0,4.72,1
8,40,1,25,1,35,0,3.19,1
7,25,0,0,1,35,0,7.07,1
21,25,0,0,1,5,0,4.46,0
19,50,0,0,2,35,20,3.59,1
4,25,0,0,0,0,0,0.0,0
25,50,1,35,0,0,0,0.0,1
6,10,0,0,2,15,0,6.12,0
24,40,0,0,1,25,8,7.29,1
0,50,0,0,1,25,17,6.63,1
24,25,2,25,1,25,0,4.21,1
24,25,3,35,1,25,0,3.17,1
24,50,0,0,0,0,0,0.0,0
20,25,1,15,0,0,0,0.0,1
14,25,1,25,2,25,0,5.47,1
21,25,0,0,0,0,0,0.0,0
8,25,2,35,1,15,0,6.63,1
24,40,1,15,3,35,0,7.84,1
17,40,1,25,0,0,50,0.0,1
14,25,2,25,1,15,50,3.93,1
15,50,0,0,0,0,0,0.0,0
17,25,0,0,1,5,19,5.51,0
1,10,0,0,0,0,0,0.0,0
4,40,0,0,0,0,12,0.0,0
7,50,0,0,2,35,0,2.7,1
3,10,0,0,2,25,26,1.16,0
13,25,0,0,1,25,0,2.4,0
20,40,0,0,1,15,0,0.61,1
20,50,1,25,1,5,20,4.32,1
14,10,2,25,0,0,0,0.0,0
26,25,0,0,1,15,0,3.3,0
17,40,0,0,1,25,0,5.59,1
2,25,1,15,0,0,0,0.0,0
23,25,0,0,0,0,0,0.0,0
17,25,0,0,2,25,0,5.11,1
19,25,1,35,3,25,0,1.76,1
17,40,1,15,1,35,0,5.55,1
17,50,0,0,0,0,0,0.0,0
2,40,1,25,0,0,28,0.0,1
17,40,1,25,0,0,0,0.0,1
24,50,0,0,1,35,0,1.91,1
9,25,1,5,1,25,0,0.54,1
18,25,0,0,1,35,48,7.78,1
0,50,3,5,1,35,0,0.7,1
10,25,0,0,4,35,0,3.06,1
13,40,1,35,2,35,20,5.28,1
30,40,0,0,1,15,0,3.28,1
6,10,1,25,1,15,0,3.36,0
8,40,0,0,0,0,11,0.0,0
12,25,0,0,0,0,0,0.0,0
30,25,0,0,0,0,7,0.0,0
26,40,2,5,2,35,0,5.92,1
1,25,0,0,1,25,42,5.02,1
7,40,1,35,3,35,0,4.39,1
25,50,1,25,0,0,12,0.0,1
1,50,1,5,1,35,0,7.15,1
26,25,1,25,1,15,0,1.31,1
8,25,2,25,0,0,14,0.0,1
28,25,2,15,1,25,0,4.02,1
9,10,0,0,2,35,0,2.29,0
13,50,1,35,0,0,0,0.0,1
20,25,0,0,0,0,0,0.0,0
3,25,2,15,1,5,0,0.78,0
17,50,0,0,1,35,0,7.84,1
15,25,0,0,0,0,0,0.0,0
24,10,0,0,0,0,49,0.0,0
30,25,0,0,0,0,6,0.0,0
20,40,0,0,0,0,40,0.0,1
12,40,0,0,1,35,1,6.01,1
12,25,0,0,1,15,0,2.12,0
12,50,1,15,2,15,57,3.52,1
25,50,4,15,1,25,0,2.2,1
9,50,0,0,1,35,43,5.64,1
5,25,1,35,2,25,50,3.13,1
10,10,1,35,0,0,0,0.0,0
0,50,0,0,2,5,40,7.4,1
3,25,0,0,0,0,0,0.0,0
2,40,1,35,0,0,0,0.0,1
23,40,0,0,0,0,0,0.0,0
22,10,0,0,1,15,0,2.06,0
21,40,1,15,2,25,0,3.12,1
14,50,1,35,2,25,25,7.49,1
22,40,0,0,0,0,0,0.0,0
4,25,0,0,2,15,60,7.14,1
27,50,1,25,3,35,48,2.7,1
15,40,1,25,1,5,0,4.12,1
29,40,1,5,0,0,0,0.0,1
4,50,1,35,1,35,0,7.13,1
15,40,1,15,0,0,0,0.0,0
21,25,1,25,2,35,0,5.53,1
15,10,0,0,0,0,0,0.0,0
13,25,0,0,1,25,6,5.28,1
5,40,1,25,0,0,35,0.0,1
11,40,1,5,0,0,0,0.0,0
7,40,0,0,0,0,0,0.0,0
9,25,2,35,0,0,33,0.0,1
21,40,0,0,1,25,18,5.45,1
19,50,0,0,0,0,28,0.0,1
18,25,0,0,3,15,0,7.41,1
11,40,2,35,0,0,59,0.0,1
29,40,0,0,3,25,6,4.38,1
2,40,2,25,1,25,56,1.86,1
10,25,1,25,1,15,43,4.05,1
3,40,0,0,0,0,0,0.0,0
10,50,0,0,0,0,0,0.0,0
29,40,0,0,0,0,7,0.0,0
11,50,1,25,0,0,0,0.0,1
28,50,0,0,0,0,0,0.0,1
15,25,0,0,1,25,0,5.97,0
21,40,0,0,0,0,19,0.0,0
14,40,0,0,0,0,51,0.0,1
8,50,0,0,1,5,0,4.19,0
23,10,1,35,4,15,0,2.85,1
30,25,1,15,0,0,43,0.0,1
8,50,2,25,1,25,0,5.5,1
24,25,0,0,1,25,5,3.88,1
8,40,1,25,0,0,9,0.0,0
22,25,1,25,0,0,56,0.0,1
24,50,0,0,2,15,0,7.72,1
13,50,1,25,1,5,10,3.14,1
22,25,0,0,1,15,38,5.88,1
8,40,2,15,0,0,60,0.0,1
2,25,0,0,1,25,10,4.66,0
2,40,0,0,3,25,3,1.08,0
13,40,0,0,0,0,0,0.0,0
27,50,1,35,1,15,0,4.02,1
3,10,0,0,1,25,0,0.72,0
14,25,1,5,1,35,0,6.42,1
21,40,1,5,2,25,0,6.01,1
6,40,0,0,0,0,50,0.0,1
22,40,1,25,0,0,57,0.0,1
9,10,0,0,0,0,0,0.0,0
25,25,0,0,0,0,0,0.0,0
17,50,1,25,1,25,0,0.88,1
16,10,0,0,1,25,31,4.25,1
5,25,2,15,0,0,14,0.0,0
14,50,1,25,0,0,4,0.0,1
26,10,1,35,2,35,0,7.71,1
0,40,0,0,0,0,0,0.0,0
23,25,0,0,4,35,55,2.63,1
15,50,0,0,5,5,48,7.28,1
22,40,1,5,2,15,54,1.63,1
20,50,0,0,1,15,48,0.55,1
13,25,2,35,0,0,0,0.0,1
9,40,1,25,0,0,26,0.0,1
19,40,0,0,3,35,0,4.48,1
4,25,2,25,1,5,0,2.29,1
18,25,1,15,2,35,0,7.09,1
2,10,1,35,2,5,0,5.55,1
20,50,0,0,1,25,0,5.65,1
19,40,1,35,1,15,0,5.55,1
2,40,1,15,0,0,29,0.0,1
23,40,2,15,0,0,23,0.0,1
12,40,1,15,1,25,44,5.59,1
24,40,0,0,1,25,0,6.1,1
1,25,0,0,1,35,0,5.52,0
5,40,0,0,1,25,7,6.76,1
15,25,1,5,4,25,0,4.69,1
5,50,0,0,1,35,0,3.13,1
10,50,0,0,1,35,0,4.0,1
20,25,1,35,1,35,3,3.8,1
4,40,0,0,0,0,58,0.0,1
21,10,2,25,0,0,0,0.0,1
3,50,0,0,1,35,20,2.99,1
5,50,1,25,1,25,0,3.62,1
18,50,0,0,1,35,3,3.39,1
24,25,2,35,1,25,41,1.33,1
5,25,1,35,0,0,24,0.0,0
9,25,2,35,0,0,0,0.0,1
28,10,2,25,0,0,14,0.0,1
30,10,2,25,1,35,0,6.73,1
18,10,1,15,2,35,27,6.17,1
13,50,1,25,1,15,0,3.03,1
10,10,0,0,0,0,28,0.0,0
18,10,1,25,0,0,37,0.0,1
18,50,0,0,0,0,0,0.0,0
9,40,1,15,0,0,0,0.0,0
0,40,0,0,3,5,0,7.59,0
4,40,1,25,1,35,0,7.62,1
29,50,0,0,0,0,56,0.0,1
12,40,0,0,1,25,0,6.93,1
14,40,0,0,0,0,53,0.0,1
14,40,0,0,2,25,0,0.72,1
24,25,0,0,0,0,0,0.0,0
2,25,1,25,0,0,0,0.0,0
2,40,0,0,1,35,0,3.28,1
8,25,0,0,0,0,0,0.0,0
15,40,2,25,0,0,0,0.0,1
20,25,1,15,2,25,50,3.93,1
15,25,3,25,1,25,0,5.89,1
13,25,0,0,1,25,0,5.26,0
29,50,0,0,0,0,30,0.0,1
4,25,0,0,0,0,0,0.0,0
17,40,0,0,3,5,34,5.59,1
16,50,1,25,0,0,0,0.0,1
14,10,1,35,1,25,0,6.25,1
25,40,0,0,0,0,8,0.0,0
8,25,2,35,1,35,35,7.61,1
29,25,1,15,2,5,0,4.64,1
10,40,0,0,1,35,41,7.28,1
16,50,1,5,2,35,0,6.61,1
16,25,1,25,0,0,54,0.0,1
26,40,2,15,2,15,3,3.03,1
13,25,0,0,2,35,52,6.6,1
8,40,0,0,2,35,0,1.38,1
0,40,2,25,0,0,0,0.0,1
11,40,0,0,2,25,0,1.69,1
25,40,0,0,1,15,0,7.94,1
0,10,1,35,1,15,0,3.72,0
27,40,1,15,0,0,32,0.0,1
16,40,0,0,1,25,6,3.95,1
4,40,1,25,1,15,0,7.63,1
9,10,1,35,1,25,60,3.21,1
17,25,3,25,1,35,0,2.28,1
9,25,1,5,3,35,0,1.08,1
3,10,0,0,1,35,0,4.42,0
20,25,0,0,1,35,0,2.0,1
20,25,1,15,2,5,0,0.99,1
3,40,0,0,0,0,0,0.0,0
8,25,1,35,0,0,0,0.0,0
7,50,1,15,2,15,28,6.6,1
20,40,0,0,1,25,0,2.96,1
22,40,1,25,0,0,25,0.0,1
22,40,2,35,2,25,0,4.85,1
29,40,0,0,3,15,0,1.28,1
23,40,0,0,0,0,0,0.0,0
9,50,0,0,0,0,12,0.0,0
3,40,0,0,1,35,0,4.29,1
19,40,1,15,0,0,5,0.0,1
28,40,1,35,0,0,0,0.0,1
30,40,1,15,0,0,5,0.0,1
7,10,0,0,1,5,0,5.24,0
7,40,1,15,0,0,0,0.0,0
1,40,1,25,0,0,0,0.0,0
4,50,1,35,2,25,17,3.87,1
17,40,1,15,1,25,18,3.03,1
16,40,0,0,1,25,28,2.83,1
11,50,0,0,2,25,37,1.32,1
9,40,0,0,0,0,0,0.0,0
25,25,0,0,0,0,0,0.0,0
14,25,2,15,1,5,60,1.37,1
25,10,0,0,1,35,0,4.22,1
29,10,0,0,1,35,48,1.54,1
9,25,1,35,0,0,30,0.0,1
6,40,0,0,1,25,0,2.18,1
29,40,1,15,0,0,55,0.0,1
19,10,1,35,0,0,0,0.0,1
9,40,1,25,1,5,0,1.74,1
19,25,0,0,3,25,0,6.52,1
15,50,1,25,1,25,0,3.87,1
28,25,1,35,2,15,0,4.64,1
7,40,0,0,0,0,0,0.0,0
30,25,1,35,2,15,0,4.87,1
29,40,1,15,1,15,34,3.47,1
5,25,1,35,2,25,0,2.74,1
5,40,0,0,2,15,0,3.37,0
16,25,1,35,0,0,0,0.0,1
1,50,0,0,0,0,26,0.0,0
9,40,2,35,1,35,14,4.51,1
13,40,3,25,0,0,0,0.0,1
30,50,0,0,1,25,26,3.19,1
30,50,0,0,2,25,0,1.52,1
4,25,2,25,1,15,0,7.35,1
27,25,0,0,2,35,3,5.99,1
2,25,0,0,1,5,10,1.0,0
23,25,1,25,1,15,0,7.29,1
26,40,0,0,1,25,0,1.78,1
27,50,2,5,0,0,0,0.0,1
6,50,0,0,2,35,0,1.23,1
27,40,2,25,1,35,0,1.8,1
3,40,0,0,1,25,0,7.5,1
16,50,1,25,2,25,57,2.16,1
14,50,0,0,1,15,0,6.4,1
9,25,0,0,0,0,0,0.0,0
0,40,1,25,0,0,12,0.0,0
23,50,0,0,0,0,0,0.0,0
10,25,0,0,3,25,35,5.32,1
20,25,0,0,0,0,0,0.0,0
12,50,2,25,0,0,0,0.0,1
11,50,0,0,0,0,7,0.0,0
27,50,0,0,0,0,0,0.0,0
2,40,1,25,0,0,0,0.0,0
22,25,1,25,1,25,0,4.39,1
23,25,0,0,0,0,0,0.0,0
11,40,0,0,0,0,37,0.0,1
8,40,2,25,0,0,59,0.0,1
0,40,0,0,0,0,28,0.0,0
29,40,1,35,0,0,8,0.0,1
29,25,2,35,0,0,2,0.0,1
7,40,1,5,2,25,0,3.24,1
0,25,1,5,3,5,46,1.2,1
3,25,1,25,1,35,0,5.83,1
2,10,0,0,0,0,7,0.0,0
25,25,0,0,0,0,20,0.0,0
27,50,0,0,0,0,0,0.0,1
4,25,1,25,1,5,0,3.46,1
23,25,0,0,2,15,0,4.51,1
5,40,2,35,0,0,51,0.0,1
11,40,0,0,1,35,0,0.89,1
18,10,2,15,3,35,33,6.32,1
22,25,1,5,2,25,0,5.69,1
27,25,0,0,0,0,0,0.0,0
1,40,1,25,0,0,53,0.0,1
6,25,1,35,2,25,0,4.47,1
8,10,0,0,2,5,0,4.22,0
9,10,0,0,0,0,53,0.0,0
30,40,0,0,3,35,40,3.03,1
24,10,0,0,3,15,0,3.07,1
9,50,1,35,2,35,0,1.01,1
30,25,1,35,1,15,57,5.65,1
15,40,0,0,1,25,3,0.84,1
15,25,1,25,1,25,0,0.51,1
13,25,1,35,0,0,15,0.0,1
4,10,2,5,1,15,0,0.73,0
28,50,1,25,0,0,0,0.0,1
0,50,0,0,2,25,17,2.03,1
5,10,3,35,0,0,55,0.0,1
7,25,0,0,1,35,0,4.78,0
8,50,1,25,1,15,38,5.61,1
4,40,0,0,0,0,16,0.0,0
0,25,0,0,1,35,13,3.66,0
21,25,0,0,1,15,0,3.56,0
30,40,1,35,0,0,0,0.0,1
3,40,0,0,0,0,0,0.0,0
9,40,0,0,1,25,49,4.83,1
15,50,1,15,0,0,0,0.0,1
28,40,0,0,0,0,0,0.0,0
21,25,1,15,1,25,52,4.98,1
23,40,2,25,2,25,0,6.84,1
18,25,0,0,1,25,0,6.64,1
12,25,0,0,2,35,1,6.68,1
6,10,0,0,1,25,0,6.83,0
26,25,0,0,2,25,0,7.1,1
24,40,0,0,0,0,0,0.0,0
0,10,0,0,2,25,22,4.66,0
22,25,1,35,2,25,0,4.96,1
2,40,0,0,1,5,0,5.95,0
22,40,1,25,0,0,0,0.0,1
25,40,0,0,0,0,33,0.0,1
4,50,0,0,0,0,15,0.0,0
13,40,0,0,1,15,0,1.99,0
3,10,0,0,1,25,0,3.2,0
17,40,2,35,0,0,44,0.0,1
28,40,0,0,0,0,0,0.0,0
2,25,1,15,2,35,46,7.34,1
12,10,0,0,2,5,0,4.42,0
30,25,0,0,1,25,0,0.89,1
9,40,0,0,0,0,51,0.0,1
4,25,1,35,2,15,0,3.54,1
15,25,0,0,1,25,0,1.71,0
15,50,0,0,1,35,0,3.17,1
20,50,0,0,0,0,0,0.0,0
9,25,1,25,0,0,0,0.0,0
29,50,1,15,0,0,0,0.0,1
16,10,0,0,1,35,48,4.59,1
8,50,1,35,0,0,0,0.0,1
29,50,0,0,1,35,51,4.29,1
28,10,0,0,2,35,22,4.18,1
15,40,3,35,0,0,18,0.0,1
0,50,0,0,1,5,0,0.64,0
18,50,0,0,1,25,19,3.84,1
17,50,0,0,1,15,52,0.72,1
4,40,1,25,1,35,39,3.54,1
19,10,0,0,2,35,20,5.35,1
26,50,1,15,0,0,0,0.0,1
3,40,0,0,0,0,44,0.0,0
22,40,0,0,1,15,15,1.44,1
4,25,2,15,2,15,0,7.38,1
23,40,4,35,1,25,16,5.23,1
12,25,1,25,1,35,0,2.13,1
0,40,1,35,0,0,0,0.0,1
29,10,2,25,2,15,0,3.46,1
5,40,1,35,1,25,1,1.23,1
18,50,0,0,4,25,0,0.67,1
5,40,0,0,1,25,0,7.37,0
28,40,1,15,1,25,0,5.56,1
22,25,0,0,0,0,58,0.0,1
24,50,1,25,0,0,0,0.0,1
13,40,0,0,0,0,0,0.0,0
14,25,2,25,0,0,0,0.0,1
19,25,2,15,0,0,0,0.0,1
24,25,0,0,2,15,0,6.35,1
26,40,0,0,1,35,0,5.17,1
0,50,1,15,1,5,15,7.3,1
20,40,1,25,1,35,46,7.22,1
3,25,0,0,0,0,0,0.0,0
8,50,2,35,2,15,8,0.94,1
25,25,0,0,0,0,0,0.0,0
7,50,0,0,1,25,0,1.92,1
24,25,0,0,0,0,0,0.0,0
14,40,0,0,0,0,3,0.0,0
7,50,0,0,0,0,0,0.0,0
10,25,1,25,0,0,0,0.0,1
16,40,0,0,0,0,0,0.0,0
23,50,0,0,0,0,0,0.0,0
18,25,1,5,1,25,41,3.47,1
28,10,0,0,2,25,0,3.06,1
26,40,0,0,2,15,6,4.44,1
23,25,2,35,0,0,0,0.0,1
18,10,0,0,1,25,9,2.5,0
8,40,0,0,4,5,20,6.48,1
12,40,2,15,2,25,36,0.56,1
3,25,0,0,1,35,2,6.44,1
11,25,2,15,0,0,0,0.0,1
28,50,0,0,0,0,0,0.0,1
13,40,0,0,1,25,8,3.45,1
3,50,2,35,0,0,21,0.0,1
20,25,1,35,0,0,0,0.0,1
29,50,0,0,3,25,43,0.54,1
26,40,0,0,0,0,0,0.0,0
8,10,2,35,1,25,6,6.85,1
14,50,0,0,2,25,0,3.85,1
16,40,2,35,0,0,0,0.0,1
7,10,0,0,0,0,18,0.0,0
8,25,3,25,1,35,0,5.94,1
7,40,3,15,2,25,0,7.09,1
30,10,0,0,0,0,0,0.0,0
23,25,2,25,1,35,0,0.76,1
26,10,0,0,1,35,0,2.47,1
25,25,3,35,1,25,0,1.39,1
29,25,2,35,0,0,0,0.0,1
3,40,0,0,3,25,12,1.24,0
27,25,1,25,1,25,0,7.59,1
2,10,1,25,0,0,0,0.0,0
14,40,1,15,1,35,19,6.54,1
18,25,1,25,1,15,16,3.24,1
11,40,1,35,0,0,39,0.0,1
4,10,2,5,0,0,5,0.0,0
5,10,0,0,2,15,57,5.65,1
25,25,1,25,0,0,15,0.0,1
9,40,0,0,0,0,60,0.0,1
9,25,1,35,0,0,0,0.0,1
28,50,1,25,1,15,44,7.4,1
4,25,2,25,0,0,22,0.0,1
28,40,0,0,0,0,19,0.0,0
28,40,0,0,2,35,57,2.16,1
18,10,0,0,2,35,60,0.61,1
5,40,1,25,2,15,0,6.68,1
4,25,1,5,2,25,37,5.92,1
8,25,0,0,0,0,3,0.0,0
17,10,0,0,1,35,0,1.7,0
4,40,1,15,0,0,0,0.0,0
14,50,0,0,0,0,0,0.0,0
3,10,0,0,0,0,55,0.0,0
16,40,0,0,1,35,0,4.17,1
0,40,1,5,2,15,0,1.7,0
21,25,1,15,0,0,29,0.0,1
1,40,0,0,0,0,0,0.0,0
6,40,1,15,0,0,0,0.0,0
5,50,0,0,1,25,0,5.02,1
25,50,1,25,0,0,2,0.0,1
1,10,0,0,2,25,0,5.36,0
13,25,0,0,1,25,0,2.58,0
18,40,1,5,2,15,0,6.36,1
15,10,0,0,0,0,49,0.0,0
21,25,4,35,0,0,2,0.0,1
24,50,1,15,1,15,23,4.05,1
12,10,0,0,1,35,0,5.8,0
25,40,1,25,0,0,0,0.0,1
9,50,1,35,0,0,5,0.0,1
30,25,1,15,0,0,27,0.0,1
15,40,1,25,0,0,49,0.0,1
22,50,0,0,2,25,0,5.3,1
27,40,4,35,1,15,8,3.88,1
24,10,1,25,1,25,9,2.7,1
26,10,1,15,1,15,0,2.03,1
16,50,0,0,0,0,0,0.0,0
1,25,1,35,1,25,0,6.09,1
15,40,0,0,1,25,0,5.31,1
5,10,2,25,1,15,58,2.61,1
27,25,1,25,2,5,11,7.75,1
7,50,0,0,0,0,7,0.0,0
7,40,1,5,1,35,0,6.58,1
7,50,0,0,1,35,0,1.45,1
19,25,1,5,2,5,36,1.72,1
17,40,2,35,0,0,0,0.0,1
29,50,1,25,0,0,0,0.0,1
12,25,1,15,1,25,0,4.58,1
8,25,1,25,1,5,0,1.27,0
1,50,1,35,1,35,17,7.73,1
0,25,0,0,0,0,0,0.0,0
11,40,1,5,0,0,0,0.0,0
28,50,1,5,1,35,0,5.29,1
16,25,0,0,0,0,0,0.0,0
27,25,0,0,0,0,58,0.0,1
3,10,0,0,2,25,0,1.0,0
2,25,3,25,0,0,10,0.0,1
25,25,0,0,1,25,35,3.83,1
3,40,1,25,2,25,56,2.16,1
1,25,1,25,2,15,44,4.18,1
12,40,0,0,1,25,2,2.35,1
28,25,1,35,2,15,0,6.74,1
21,25,1,5,1,25,0,5.91,1
3,25,0,0,0,0,12,0.0,0
25,40,0,0,2,25,8,7.3,1
26,40,0,0,0,0,55,0.0,1
24,25,1,25,0,0,13,0.0,1
27,50,2,25,1,15,4,1.98,1
7,40,0,0,3,25,0,3.39,1
30,25,0,0,0,0,0,0.0,0
9,50,2,25,3,35,0,6.54,1
24,25,1,25,1,25,0,3.3,1
17,10,0,0,3,25,0,3.34,0
24,40,0,0,0,0,23,0.0,0
19,10,1,35,3,35,17,7.9,1
19,25,0,0,2,5,10,6.28,0
19,40,0,0,0,0,28,0.0,0
24,10,1,25,1,25,0,6.96,1
22,50,0,0,2,25,0,3.55,1
4,50,0,0,0,0,0,0.0,0
25,40,1,35,4,15,55,4.89,1
16,40,1,15,2,35,14,3.88,1
10,40,0,0,0,0,0,0.0,0
15,50,2,25,0,0,59,0.0,1
29,25,1,25,1,25,0,3.88,1
26,25,0,0,2,25,40,1.46,1
25,40,2,25,0,0,23,0.0,1
14,40,1,15,1,15,41,6.82,1
24,25,0,0,2,35,0,3.43,1
11,40,2,35,1,35,21,4.86,1
21,10,1,35,0,0,0,0.0,0
19,50,0,0,0,0,13,0.0,0
7,25,2,35,1,5,0,6.93,1
8,10,1,35,0,0,0,0.0,0
1,10,0,0,0,0,0,0.0,0
4,25,0,0,0,0,15,0.0,0
13,25,0,0,1,25,1,6.3,0
14,10,2,15,1,15,0,1.99,1
5,25,0,0,1,35,0,5.14,0
12,25,1,25,1,25,39,4.22,1
18,25,1,25,2,15,5,2.45,1
7,25,0,0,1,25,12,0.81,0
10,25,0,0,1,35,0,5.22,1
11,25,1,35,0,0,1,0.0,0
15,10,1,15,1,25,4,6.35,1
11,10,0,0,1,5,55,7.56,1
22,25,1,15,1,35,0,3.16,1
10,40,0,0,1,15,0,3.49,0
13,50,1,25,1,25,0,1.72,1
11,50,0,0,0,0,0,0.0,0
5,40,0,0,0,0,0,0.0,0
21,40,3,5,1,25,2,7.88,1
7,25,1,35,2,15,0,6.87,1
9,40,0,0,0,0,38,0.0,1
24,40,3,15,0,0,20,0.0,1
29,50,0,0,0,0,0,0.0,1
20,50,1,25,1,15,9,7.68,1
28,25,0,0,0,0,0,0.0,0
26,40,2,35,0,0,0,0.0,1
14,50,1,25,1,15,18,4.22,1
23,25,1,15,2,5,6,2.07,1
10,50,1,5,2,25,0,4.8,1
14,10,1,5,2,35,0,3.29,1
16,50,2,5,1,15,0,3.11,1
29,40,1,25,2,35,19,1.12,1
26,10,1,25,1,25,0,1.05,1
15,40,1,15,0,0,50,0.0,1
20,10,1,15,0,0,38,0.0,1
6,40,1,35,0,0,0,0.0,1
24,40,0,0,1,5,49,3.34,1
17,40,0,0,1,25,42,7.45,1
16,50,2,15,0,0,56,0.0,1
23,10,0,0,0,0,0,0.0,0
19,25,0,0,1,15,0,5.92,0
2,25,1,25,0,0,0,0.0,0
8,10,0,0,0,0,7,0.0,0
5,25,1,25,0,0,0,0.0,0
22,25,1,5,0,0,0,0.0,0
1,25,0,0,0,0,10,0.0,0
6,25,0,0,1,25,25,6.2,0
18,50,0,0,0,0,32,0.0,1
21,25,0,0,2,25,0,2.26,1
15,50,0,0,2,25,0,6.01,1
26,25,0,0,0,0,48,0.0,1
28,25,1,35,3,35,8,3.55,1
4,40,1,5,1,15,0,0.95,0
29,25,1,25,2,35,0,3.46,1
19,25,2,25,0,0,7,0.0,1
19,40,1,35,2,15,48,1.48,1
2,25,1,25,1,5,0,6.9,0
19,25,0,0,0,0,0,0.0,0
22,40,0,0,0,0,0,0.0,0
18,25,1,35,1,15,0,6.8,1
2,50,1,25,1,35,0,2.66,1
16,25,0,0,2,25,33,5.09,1
29,50,0,0,0,0,25,0.0,1
22,40,2,25,0,0,14,0.0,1
4,50,1,35,0,0,0,0.0,1
29,50,0,0,2,35,42,3.23,1
29,10,1,25,1,35,49,1.66,1
5,40,0,0,0,0,2,0.0,0
24,25,1,25,0,0,0,0.0,1
12,50,3,15,0,0,0,0.0,1
18,40,1,15,1,25,4,5.37,1
13,25,1,25,1,35,47,6.2,1
24,50,1,5,1,35,0,6.31,1
30,10,1,25,1,35,54,1.62,1
24,40,0,0,0,0,0,0.0,0
28,40,1,5,0,0,14,0.0,1
